User ID;Тип клиентского приложения;Уровень;Дата регистрации
1;WEB;2;08.07.2017
2;WEB;1;08.02.2017
3;WEB;1;08.02.2017
4;WEB;1;08.02.2017
7;WEB;1;24.03.2017
8;WEB;1;27.03.2017
9;WEB;1;27.03.2017
10;WEB;1;10.04.2017
11;WEB;1;11.04.2017
12;WEB;1;12.04.2017
13;WEB;1;12.04.2017
18;WEB;1;17.04.2017
19;WEB;1;18.04.2017
20;WEB;1;18.04.2017
23;WEB;1;19.04.2017
24;WEB;2;19.04.2017
25;WEB;1;19.04.2017
27;WEB;1;25.04.2017
28;WEB;1;06.05.2017
29;WEB;1;07.05.2017
30;WEB;1;08.05.2017
31;WEB;1;12.05.2017
32;WEB;1;26.05.2017
33;WEB;1;26.05.2017
37;WEB;1;29.05.2017
38;WEB;1;30.05.2017
39;WEB;1;31.05.2017
40;WEB;1;01.06.2017
43;WEB;1;30.05.2017
44;WEB;1;30.05.2017
45;WEB;1;30.05.2017
46;WEB;1;30.05.2017
47;WEB;1;30.05.2017
48;WEB;1;29.05.2017
49;WEB;1;29.05.2017
50;WEB;1;29.05.2017
51;WEB;1;29.05.2017
52;WEB;1;29.05.2017
53;WEB;1;29.05.2017
54;WEB;1;29.05.2017
55;WEB;1;29.05.2017
56;WEB;1;29.05.2017
57;WEB;1;29.05.2017
58;WEB;1;29.05.2017
59;WEB;1;28.05.2017
60;WEB;2;28.05.2017
61;WEB;1;28.05.2017
62;WEB;1;28.05.2017
63;WEB;1;28.05.2017
64;WEB;1;28.05.2017
65;WEB;1;28.05.2017
66;WEB;1;28.05.2017
67;WEB;1;28.05.2017
68;WEB;1;28.05.2017
69;WEB;1;28.05.2017
70;WEB;1;28.05.2017
71;WEB;1;28.05.2017
72;WEB;1;28.05.2017
73;WEB;1;28.05.2017
74;WEB;1;28.05.2017
75;WEB;1;27.05.2017
76;WEB;1;27.05.2017
77;WEB;1;27.05.2017
78;WEB;1;27.05.2017
79;WEB;1;27.05.2017
