Дата,Дата(Касса),User ID,Тип партнера,ID ТСП,Партнер(Группа),"Кол-во регистраций(за период), чел.","Кол-вo транзакций, ед.","Сумма покупок(деньги+бонусы), руб.","Сумма покупок(деньги), руб.",Средний процент начисления,Средний процент списания,"Сумма начисленных бонусов, руб.","Сумма списанных бонусoв, руб.",Сумма начислений (с корректировками),"Суммa начисленная партнером, руб.","Начислено партнером, %"
,,,,,,0,43239,57056175.47,56968897.78,2.2997760902089284E-2,1.5296799913602772E-3,1310157.09,87277.69,1853103.07,1311327.22,2.5212442130744681E-2
2018-02-28T00:00:00Z,2018-03-01T00:00:00Z,-,Офлайн,944030,У Палыча,0,5,1139,1139,5.0131694468832306E-3,0,5.71,0,5.71,0,0
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,1273,Офлайн,936729,Тройка-Город,0,0,0,0,-,-,0,0,8.29,0,-
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,1463,Офлайн,929405,Горздрав,0,1,428,427.48,7.5091232338355008E-3,1.2149532710280374E-3,3.21,0.52,3.21,0,0
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,1463,Офлайн,929411,Apteka 36.6,0,1,70,69.37,7.4960357503243476E-3,8.9999999999999993E-3,0.52,0.63,0.52,0,0
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,1463,Офлайн,936729,Тройка-Город,0,0,0,0,-,-,0,0,0.63,0,-
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,2370,Офлайн,936729,Тройка-Город,0,0,0,0,-,-,0,0,1.5,0,-
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,2378,Офлайн,936729,Тройка-Город,0,0,0,0,-,-,0,0,7.39,0,-
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,2379,Офлайн,936729,Тройка-Город,0,0,0,0,-,-,0,0,0.6,0,-
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,2379,Офлайн,944022,У Палыча,0,1,76,75.4,6.49867374005305E-3,7.8947368421052634E-3,0.49,0.6,0.49,0,0
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,2383,Офлайн,936729,Тройка-Город,0,0,0,0,-,-,0,0,1.14,0,-
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,2384,Офлайн,936729,Тройка-Город,0,0,0,0,-,-,0,0,1.4,0,-
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,2386,Офлайн,936729,Тройка-Город,0,0,0,0,-,-,0,0,0.99,0,-
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,2387,Офлайн,936729,Тройка-Город,0,0,0,0,-,-,0,0,0.6,0,-
2018-03-01T00:00:00Z,2018-03-01T00:00:00Z,2388,Офлайн,936729,Тройка-Город,0,0,0,0,-,-,0,0,2.81,0,-
