web_bq_userid,sessions_in_app,sessions_in_web
44446,174,2
34673,160,132
20533,152,5
50776,126,1
50509,121,1
12309,104,1
10694,103,124
13614,103,1
23603,102,5
52534,94,1
52590,93,1
51840,91,2
11961,91,18
17833,90,8
43433,87,1
54402,81,2
43205,80,6
11904,80,2
21569,79,1
11360,79,15
8063,79,3
26604,78,17
21701,78,2
52898,77,6
19307,75,4
6475,73,1
26408,73,51
41952,72,2
56475,72,2
27740,71,1
10793,68,2
45438,68,12
14249,67,12
4617,67,2
26652,67,8
50887,67,1
6377,66,22
47068,65,5
35153,65,2
50369,65,4
39661,64,3
29451,64,5
24329,64,2
39333,64,1
41480,64,6
29779,64,2
15407,64,3
13544,64,15
55620,64,1
15276,63,1
52666,63,3
21942,63,1
52013,63,2
34929,63,1
14428,62,3
15510,61,7
25530,61,6
13644,61,1
19111,61,8
34994,61,12
28786,60,28
38985,60,2
5508,60,2
11043,58,1
48596,58,33
17043,57,5
51364,57,2
13479,56,1
5040,56,4
39678,55,4
23521,55,15
11524,55,1
15302,55,10
50877,55,3
48922,54,43
7741,54,3
13259,54,1
13327,53,6
53001,53,10
57051,53,7
17374,53,15
13414,53,1
36851,53,1
54681,52,2
51534,52,2
32246,52,9
7219,51,3
51200,51,2
21471,50,1
41351,50,5
26307,50,1
28629,50,14
54179,50,3
27537,49,7
51813,49,1
51309,49,1
25457,49,6
1237,49,1
19693,49,1
50987,49,90
3775,49,6
14676,49,1
22446,49,2
57538,48,6
30422,48,17
34984,48,3
9843,47,1
51997,47,4
49659,47,1
58656,47,3
49781,47,4
49889,46,9
31733,46,15
8122,46,2
10587,46,3
7905,45,1
27650,45,7
17462,45,1
30575,45,1
55168,45,2
7171,44,16
24704,44,1
23115,44,4
18392,44,7
56684,44,3
50529,43,3
51542,43,2
57880,43,2
51218,43,2
48665,43,2
50504,42,4
50990,42,10
29334,42,19
54272,41,7
24902,41,3
15696,41,1
23052,41,1
31270,41,1
43176,41,1
56609,41,1
3116,41,2
12226,41,2
53731,41,1
3684,41,8
30040,41,1
38052,41,1
49072,41,2
57327,41,7
18180,41,2
4613,40,15
49078,40,3
32550,40,1
33553,40,3
43226,40,3
11617,40,2
41145,40,1
46520,40,1
18451,40,3
29450,40,3
15365,40,1
30933,40,52
25645,39,1
50128,39,2
39005,39,2
7988,39,2
57776,39,2
50815,39,1
27080,39,1
54363,39,2
50056,39,24
8820,39,2
49736,39,4
19729,38,8
52405,38,5
25997,38,2
52093,38,19
51886,38,2
7153,37,2
49074,37,5
17312,37,4
50163,37,1
31831,37,1
18866,37,54
1766,37,5
55154,37,1
54490,37,2
46815,36,1
52072,36,3
21451,36,1
51488,36,2
4031,36,1
43402,36,1
52167,36,6
20785,36,2
42935,36,1
25106,36,6
50888,36,4
5572,36,1
54317,35,2
54896,35,1
12634,35,1
7706,35,1
15838,35,1
48055,35,5
22231,35,1
29211,35,1
56713,35,1
53070,34,3
50978,34,1
39030,34,48
12153,34,2
49397,34,7
52303,34,2
46563,34,1
16020,34,3
51039,34,2
4952,34,1
29924,34,11
55218,34,6
48612,34,21
10137,34,4
49723,33,2
58428,33,1
49400,33,3
22074,33,2
56972,33,12
35115,33,9
52588,33,2
58332,33,3
22311,33,36
51807,33,2
50866,33,1
44244,32,6
54993,32,4
52256,32,1
36234,32,3
24447,32,2
6320,32,5
53325,32,2
54252,32,3
25431,32,1
52233,32,1
5686,32,1
53162,32,1
14184,32,21
43720,32,1
47057,32,8
50858,32,1
15539,31,2
50489,31,1
54542,31,2
10877,31,2
28039,31,2
61862,31,7
